clinica;cidade;estado
Sumaré;Sumaré;SP
Fazenda Rio Grande;Fazenda Rio Grande;PR
Campo Largo;Campo Largo;PR
Xanxerê;Xanxerê;SC
São Bernardo do Campo;São Bernardo do Campo;SP
Hortolândia - Desativada;Hortolândia;SP
Chapecó - Desativada;Chapecó;SC
Guaíba;Guaíba;RS
Naviraí;Naviraí;MS
Mogi Guaçu;Mogi Guaçu;SP
Fernandópolis;Fernandópolis;SP
Divinópolis;Divinópolis;MG
Farroupilha - Desativada;Farroupilha;RS
Cruz Alta;Cruz Alta;RS
Pitanga;Pitanga;PR
Biguaçu;Biguaçu;SC
São José dos Campos - Vila Adyana;São José dos Campos;SP
Campinas - Centro - Desativada;Campinas;SP
Campinas - Amoreiras - Desativada;Campinas;SP
Aquidauana - Desativada;Aquidauana;MS
São Bento do Sul;São Bento do Sul;SC
Sete Lagoas - Desativada;Sete Lagoas;MG
Jacareí;Jacareí;SP
Nova Andradina;Nova Andradina;MS
Barretos - Desativada;Barretos;SP
Limeira;Limeira;SP
Teresina - Desativada;Teresina;PI
Suzano;Suzano;SP
Itanhaém;Itanhaém;SP
Vinhedo;Vinhedo;SP
Santana do Livramento;Santana do Livramento;RS
Ituiutaba;Ituiutaba;MG
Varginha - Desativada;Varginha;MG
Patrocínio;Patrocínio;MG
Uberlândia - Luizote de Freitas - Desativada;Uberlândia;MG
Goiânia - Setor Oeste - Desativada;Goiânia;GO
Colombo;Colombo;PR
Gramado;Gramado;RS
Bertioga;Bertioga;SP
Araguaína - Desativada;Araguaína;TO
Primavera do Leste;Primavera do Leste;MT
Gravataí;Gravataí;RS
Montes Claros - Desativada;Montes Claros;MG
São Paulo - Pinheiros - Desativada;São Paulo;SP
Lençois Paulista;Lençóis Paulista;SP
Pinhais;Pinhais;PR
Carapicuíba - Desativada;Carapicuíba;SP
Jandaia do Sul;Jandaia do Sul;PR
Nova Mutum;Nova Mutum;MT
Fortaleza - Sul;Fortaleza;CE
Marechal Cândido Rondon;Marechal Cândido Rondon;PR
Imbituba;Imbituba;SC
Desativada;Xangri-lá;RS
Catanduva - Desativada;Catanduva;SP
Curitiba - Santa Felicidade;Curitiba;PR
Teresópolis - Desativada;Teresópolis;RJ
Ribeirão Preto - Campos Eliseos;Ribeirão Preto;SP
São Francisco do Sul;São Francisco do Sul;SC
Marau - Desativada;Marau;RS
Aparecida de Goiânia - Desativada;Aparecida de Goiânia;GO
Belo Horizonte - Barreiro;Belo Horizonte;MG
Mafra;Mafra;SC
Ponta Grossa;Ponta Grossa;PR
São Paulo - Morumbi - Desativada;São Paulo;SP
Palotina - Desativada;Palotina;PR
Venâncio Aires - Desativada;Venâncio Aires;RS
Timbó;Timbó;SC
Caldas Novas;Caldas Novas;GO
Lavras - Desativada;Lavras;MG
Valparaíso de Goiás - Desativada;Valparaíso de Goiás;GO
Luziânia - Desativada;Luziânia;GO
Itapeva - Desativada;Itapeva;SP
São João da Boa Vista;São João da Boa Vista;SP
Rio de Janeiro - Barra da Tijuca - Desativada;Rio de Janeiro;RJ
Tupã - Desativada;Tupã;SP
Vacaria;Vacaria;RS
Jaguariúna - Desativada;Jaguariúna;SP
Imperatriz - Desativada;Imperatriz;MA
Itajubá;Itajubá;MG
Mairiporã;Mairiporã;SP
Santa Cruz do Rio Pardo;Santa Cruz do Rio Pardo;SP
Bebedouro - Desativada;Bebedouro;SP
Sorocaba - Itavuvu;Sorocaba;SP
São José dos Campos - Av. Andrômeda;São José dos Campos;SP
Goiânia - Pedro Ludovico - Desativada;Goiânia;GO
São Caetano do Sul - Nova Gerty - Desativada;São Caetano do Sul;SP
São Gotardo;São Gotardo;MG
Guaratinguetá;Guaratinguetá;SP
Nova Serrana;Nova Serrana;MG
São Sebastião;São Sebastião;SP
Rio de Janeiro - Copacabana - Desativada;Rio de Janeiro;RJ
Prudentópolis;Prudentópolis;PR
Jaboatão dos Guararapes;Jaboatão dos Guararapes;PE
Chapecó - Jd Itália - Desativada;Chapecó;SC
Pirassununga;Pirassununga;SP
Porto Alegre - Av. Protásio Alves;Porto Alegre;RS
Votorantim;Votorantim;SP
São Gabriel do Oeste;São Gabriel do Oeste;MS
Salto - Desativada;Salto;SP
São Paulo - São Miguel Paulista;São Paulo;SP
Castro;Castro;PR
Itaquaquecetuba - Desativada;Itaquaquecetuba;SP
Frederico Westphalen - Desativada;Frederico Westphalen;RS
União da Vitória;União da Vitória;PR
Cuiabá - Setor CPA;Cuiabá;MT
Balneário Piçarras;Balneário Piçarras;SC
Taboão da Serra;Taboão da Serra;SP
Penápolis;Penápolis;SP
Itaúna - Desativada;Itaúna;MG
Ceilândia - Desativada;Brasília;DF
Florianópolis - Ingleses - Desativada;Florianópolis;SC
Alvorada - RS - Desativada;Alvorada;RS
Garça;Garça;SP
Panambi - Desativada;Panambi;RS
Niterói - Icaraí;Niterói;RJ
Diadema;Diadema;SP
Serra - Desativada;Serra;ES
Cabo Frio;Cabo Frio;RJ
Matão;Matão;SP
Ponta Porã - Desativada;Ponta Porã;MS
Lauro de Freitas;Lauro de Freitas;BA
Ubatuba;Ubatuba;SP
Mirassol;Mirassol;SP
Santa Barbara do Oeste;Santa Barbara do Oeste;SP
Macaé - Desativada;Macaé;RJ
Juiz de Fora - Benfica;Juiz de Fora;MG
Capão da Canoa - Desativada;Capão da Canoa;RS
Navegantes - Desativada;Navegantes;SC
Sinop - Desativada;Sinop;MT
Santa Rosa;Santa Rosa;RS
Passos - Desativada;Passos;MG
Dracena;Dracena;SP
São João Batista;São João Batista;SC
Paracatu;Paracatu;MG
Esteio;Esteio;RS
Itatiba - Desativada;Itatiba;SP
Recife - Derby - Desativada;Recife;PE
João Pessoa - Desativada;João Pessoa;PB
Carlos Barbosa - Desativada;Carlos Barbosa;RS
Viamão;Viamão;RS
Sapiranga;Sapiranga;RS
Porto Alegre - Cavalhada;Porto Alegre;RS
Artur Nogueira;Artur Nogueira;SP
Bagé;Bagé;RS
Rio Grande - Desativada;Rio Grande;RS
Paragominas;Paragominas;PA
Campo Grande - Centro;Campo Grande;MS
Samambaia - Desativada;Brasília;DF
Amambai;Amambai;MS
Sarandi - RS;Sarandi;RS
Jaboticabal;Jaboticabal;SP
São Luis - Renascença;São Luís;MA
Camboriú;Camboriú;SC
Jataí - Desativada;Jataí;GO
Uruguaiana;Uruguaiana;RS
Campos dos Goytacazes - Desativada;Campos dos Goytacazes;RJ
Taquara;Taquara;RS
Salvador - Ondina;Salvador;BA
Cosmópolis;Cosmópolis;SP
José Bonifácio;José Bonifácio;SP
Pindamonhangaba - Desativada;Pindamonhangaba;SP
Colorado;Colorado;PR
Sobradinho;Brasília;DF
Contagem;Contagem;MG
Castanhal;Castanhal;PA
Araranguá;Araranguá;SC
Santarém - Desativada;Santarém;PA
Torres;Torres;RS
Betim;Betim;MG
Boituva;Boituva;SP
Cerquilho - Desativada;Cerquilho;SP
Sapucaia do Sul;Sapucaia do Sul;RS
Planaltina;Brasília;DF
Campo Bom;Campo Bom;RS
Cristalina;Cristalina;GO
Rio de Janeiro - Campo Grande - Desativada;Rio de Janeiro;RJ
São Sebastião do Paraíso;São Sebastião do Paraíso;MG
Araguari - Desativada;Araguari;MG
Santo Ângelo;Santo Ângelo;RS
Rio de Janeiro - Tijuca - Desativada;Rio de Janeiro;RJ
Rio de Janeiro - Botafogo - Desativada;Rio de Janeiro;RJ
Paraguaçu Paulista;Paraguaçu Paulista;SP
Monte Carmelo;Monte Carmelo;MG
Ibaté;Ibaté;SP
Marabá - Desativada;Marabá;PA
Piracicaba - Desativada;Piracicaba;SP
Viçosa - Desativada;Viçosa;MG
Içara;Içara;SC
Caratinga;Caratinga;MG
Jacarezinho;Jacarezinho;PR
Igrejinha - Desativada;Igrejinha;RS
Mossoró;Mossoró;RN
Unaí;Unaí;MG
São Gabriel;São Gabriel;RS
Rosário do Sul - Desativada;Rosário do Sul;RS
Corumbá - Desativada;Corumbá;MS
Petrolina;Petrolina;PE
Camaquã - Desativada;Camaquã;RS
Olímpia;Olímpia;SP
Tijucas;Tijucas;SC
Itumbiara - Desativada;Itumbiara;GO
Ariquemes;Ariquemes;RO
Campinas - Ouro Verde;Campinas;SP
Alta Floresta;Alta Floresta;MT
Bragança Paulista;Bragança Paulista;SP
São Vicente;São Vicente;SP
Serrana;Serrana;SP
Maracaju;Maracaju;MS
Teutônia;Teutônia;RS
Gaspar;Gaspar;SC
Pará de Minas;Pará de Minas;MG
Barra Bonita;Barra Bonita;SP
Pomerode;Pomerode;SC
Campina Grande;Campina Grande;PB
Três Corações - Desativada;Três Corações;MG
Parobé;Parobé;RS
Sidrolândia;Sidrolândia;MS
Tramandaí;Tramandaí;RS
Guarapari - Desativada;Guarapari;ES
Estrela - Desativada;Estrela;RS
Curitiba - Pinheirinho;Curitiba;PR
Sorriso;Sorriso;MT
Alegrete;Alegrete;RS
Jales;Jales;SP
Veranópolis - Desativada;Veranópolis;RS
Guaratuba - Desativada;Guaratuba;PR
João Pinheiro;João Pinheiro;MG
Nova Lima;Nova Lima;MG
São João Del Rei;São João del Rei;MG
Conselheiro Lafaiete;Conselheiro Lafaiete;MG
Altamira;Altamira;PA
Barra do Garças;Barra do Garças;MT
Maracanaú;Maracanaú;CE
Alfenas;Alfenas;MG
Campo Verde;Campo Verde;MT
Trindade - Desativada;Trindade;GO
Ortigueira;Ortigueira;PR
Parnaíba - Desativada;Parnaíba;PI
Leme;Leme;SP
Valinhos;Valinhos;SP
Assis Chateaubriand;Assis Chateaubriand;PR
Lorena;Lorena;SP
Resende;Resende;RJ
Goianésia - Desativada;Goianésia;GO
Volta Redonda;Volta Redonda;RJ
Vargem Grande Paulista - Desativada;Vargem Grande Paulista;SP
Sertãozinho;Sertãozinho;SP
Jaraguá - Desativada;Jaraguá;GO
Carmo do Paranaíba;Carmo do Paranaíba;MG
Mogi Mirim - Desativada;Mogi Mirim;SP
Petrópolis;Petrópolis;RJ
Mococa;Mococa;SP
Capivari - Desativada;Capivari;SP
São Joaquim da Barra;São Joaquim da Barra;SP
Nova Odessa - Desativada;Nova Odessa;SP
Amparo;Amparo;SP
Ouro Preto;Ouro Preto;MG
Itaquirai;Itaquiraí;MS
Ibitinga;Ibitinga;SP
Morrinhos;Morrinhos;GO
Vitória - Desativada;Vitória;ES
Gurupi - Desativada;Gurupi;TO
Arapiraca;Arapiraca;AL
Redenção - Desativada;Redenção;PA
Guaxupé;Guaxupé;MG
Olinda;Olinda;PE
Orleans;Orleans;SC
Canela;Canela;RS
Caruaru;Caruaru;PE
Ituverava;Ituverava;SP
Batatais;Batatais;SP
Barra do Piraí - Desativada;Barra do Piraí;RJ
Ilhéus;Ilhéus;BA
Vitória da Conquista;Vitória da Conquista;BA
Rio das Ostras - Desativada;Rio das Ostras;RJ
Pinhalzinho;Pinhalzinho;SC
Barbacena;Barbacena;MG
Piraquara - Desativada;Piraquara;PR
Araruama - Desativada;Araruama;RJ
Monte Alto;Monte Alto;SP
Nova Esperança;Nova Esperança;PR
Portão;Portão;RS
Registro;Registro;SP
Cachoeiro de Itapemirim - Desativada;Cachoeiro de Itapemirim;ES
Parauapebas - Desativada;Parauapebas;PA
Angra dos Reis - Desativada;Angra dos Reis;RJ
Macapá;Macapá;AP
Sobral - Desativada;Sobral;CE
Juazeiro do Norte;Juazeiro do Norte;CE
Ibirubá - Desativada;Ibirubá;RS
Taquaritinga - Desativada;Taquaritinga;SP
Itupeva;Itupeva;SP
Porto Feliz;Porto Feliz;SP
Flores da Cunha - Desativada;Flores da Cunha;RS
Porto Ferreira;Porto Ferreira;SP
Itabira - Desativada;Itabira;MG
Rolim de Moura;Rolim de Moura;RO
Dois irmãos;Dois Irmãos;RS
Campos Novos - Desativada;Campos Novos;SC
Curitibanos - Desativada;Curitibanos;SC
Guaramirim;Guaramirim;SC
Cabreúva;Cabreúva;SP
Formosa;Formosa;GO
Nova Petrópolis;Nova Petrópolis;RS
Teófilo Otoni;Teófilo Otoni;MG
Itapira - Desativada;Itapira;SP
Palmeira das Missões - Desativada;Palmeira das Missões;RS
Soledade - Desativada;Soledade;RS
Três Passos - Desativada;Três Passos;RS
Timóteo - Desativada;Timóteo;MG
Cachoeira do Sul;Cachoeira do Sul;RS
Governador Valadares - Desativada;Governador Valadares;MG
Estância Velha;Estância Velha;RS
Campinas - Barão Geraldo - Desativada;Campinas;SP
Peruíbe;Peruíbe;SP
Nova Friburgo - Desativada;Nova Friburgo;RJ
Bom Despacho;Bom Despacho;MG
São José do Rio Pardo;São José do Rio Pardo;SP
Braço do Norte - Desativada;Braço do Norte;SC
Piracicaba - Piracicamirim - Desativada;Piracicaba;SP
Sombrio;Sombrio;SC
Guarantã do Norte;Guarantã do Norte;MT
Tapejara - Desativada;Tapejara;RS
São Mateus do Sul - Desativada;São Mateus do Sul;PR
Rio Negrinho;Rio Negrinho;SC
Canoinhas;Canoinhas;SC
Rio De Janeiro - CG - Estrada do Campinho - Desativada;Rio de Janeiro;RJ
Capinzal - Desativada;Capinzal;SC
Montenegro;Montenegro;RS
Taguatinga - Desativada;Brasília;DF
Andradina;Andradina;SP
Águas Lindas de Goiás - Desativada;Águas Lindas de Goiás;GO
São Paulo - Itaquera;São Paulo;SP
São Paulo - Guaianases;São Paulo;SP
São Paulo - Jabaquara - Desativada;São Paulo;SP
São Paulo - Itaim Paulista - Desativada;São Paulo;SP
Videira;Videira;SC
Lagoa Vermelha;Lagoa Vermelha;RS
Coronel Fabriciano - Desativada;Coronel Fabriciano;MG
Paiçandu;Paiçandu;PR
Campinas - Taquaral - Desativada;Campinas;SP
Terra Boa;Terra Boa;PR
Caarapó;Caarapó;MS
Belo Horizonte - Buritis;Belo Horizonte;MG
Frutal;Frutal;MG
Belém - Bosque - Desativada;Belém;PA
Osório;Osório;RS
Porto Velho;Porto Velho;RO
Jaru;Jaru;RO
Ibaiti;Ibaiti;PR
Pedreira - Desativada;Pedreira;SP
Manhuaçu;Manhuaçu;MG
Marituba - Desativada;Marituba;PA
São Paulo - Campo Belo;São Paulo;SP
Goioerê;Goioerê;PR
Porangatu - Desativada;Porangatu;GO
Novo Gama - Desativada;Novo Gama;GO
Linhares;Linhares;ES
Caçapava;Caçapava;SP
São Paulo - São Mateus - Desativada;São Paulo;SP
São Paulo - Tucuruvi - Desativada;São Paulo;SP
São Paulo - Pirituba - Desativada;São Paulo;SP
São Paulo - Cidade Dutra - Desativada;São Paulo;SP
São Paulo - Capão Redondo - Desativada;São Paulo;SP
São Paulo - Cachoeirinha - Desativada;São Paulo;SP
Santo André II - Desativada;Santo André;SP
Santo Antônio do Descoberto - Desativada;Santo Antônio do Descoberto;GO
Forquilhinha;Forquilhinha;SC
São Paulo - Aclimação - Desativada;São Paulo;SP
Holambra;Holambra;SP
Engenheiro Coelho - Desativada;Engenheiro Coelho;SP
Lagoa da Prata - Desativada;Lagoa da Prata;MG
Anápolis - Av. Universitária - Desativada;Anápolis;GO
Ubá - Desativada;Ubá;MG
São Sebastião do Caí - Desativada;São Sebastião do Caí;RS
Ivoti;Ivoti;RS
Américo Brasiliense;Américo Brasiliense;SP
Várzea Paulista - Desativada;Várzea Paulista;SP
Sertanópolis;Sertanópolis;PR
São Paulo - Pompéia - Desativada;São Paulo;SP
Dois Córregos;Dois Córregos;SP
Barra Mansa;Barra Mansa;RJ
Cabedelo - Intermares;Cabedelo;PB
Marialva;Marialva;PR
Encantado - Desativada;Encantado;RS
Guaporé;Guaporé;RS
Curitiba - Centro Cívico;Curitiba;PR
Curitiba - Bom Retiro - Desativada;Curitiba;PR
Duque de Caxias - Desativada;Duque de Caxias;RJ
Nova Iguaçu - Desativada;Nova Iguaçu;RJ
Mandaguari;Mandaguari;PR
Belém - Guamá - Desativada;Belém;PA
Tietê;Tietê;SP
Cruzeiro - Desativada;Cruzeiro;SP
Recife - Casa Amarela - Desativada;Recife;PE
Ouro Fino;Ouro Fino;MG
Brasília - Asa Norte;Brasília;DF
Macaé - Cavaleiros;Macaé;RJ
Arujá - Desativada;Arujá;SP
Goiatuba - Desativada;Goiatuba;GO
João Monlevade - Desativada;João Monlevade;MG
Itaituba;Itaituba;PA
Ilhabela - Desativada;Ilhabela;SP
Carmo do Cajuru;Carmo do Cajuru;MG
Coronel Vivida - Desativada;Coronel Vivida;PR
São Sebastião - DF - Desativada;Brasília;DF
São Carlos;São Carlos;SP
Imbituva;Imbituva;PR
Mandaguaçu;Mandaguaçu;PR
São Roque - Desativada;São Roque;SP
Lapa - Desativada;Lapa;PR
São Paulo - Mooca - Desativada;São Paulo;SP
São Paulo - Brás - Desativada;São Paulo;SP
Belo Horizonte - Prado - Desativada;Belo Horizonte;MG
Belo Horizonte - Av. Dom Pedro II;Belo Horizonte;MG
Chapada dos Guimarães;Chapada dos Guimarães;MT
Recreio Dos Bandeirantes - Desativada;Rio de Janeiro;RJ
Cuiabá - Coxipó - Desativada;Cuiabá;MT
São Caetano do Sul - Nova Gerty;São Caetano do Sul;SP
Itatiaiuçu - Desativada;Itatiaiuçu;MG
Brumadinho - Desativada;Brumadinho;MG
Mateus Leme - Desativada;Mateus Leme;MG
Caieiras;Caieiras;SP
Cuiabá - Eldorado - Desativada;Cuiabá;MT
Jaguapitã;Jaguapitã;PR
Maceió - Gruta - Desativada;Maceió;AL
Itaúna - Desativada;Itaúna;MG
Nova Iguaçu - Centro;Nova Iguaçu;RJ
Luis Eduardo Magalhães;Luís Eduardo Magalhães;BA
Umuarama;Umuarama;PR
Louveira - Desativada;Louveira;SP
Itaperuna - Desativada;Itaperuna;RJ
João Pessoa - Mangabeira - Desativada;João Pessoa;PB
João Pessoa - Estados - Desativada;João Pessoa;PB
Uberlândia - Santa Mônica;Uberlândia;MG
Rio de Janeiro - Madureira;Rio de Janeiro;RJ
Carapicuíba - Vila Marcondes - Desativada;Carapicuíba;SP
Maricá - Itaipuaçu;Maricá;RJ
Campo Limpo Paulista;Campo Limpo Paulista;SP
Teixeira de Freitas;Teixeira de Freitas;BA
Santo Antônio de Pádua - Desativada;Santo Antônio de Pádua;RJ
Reserva;Reserva;PR
Rondonópolis - Centro;Rondonópolis;MT
São Paulo - Cidade Dutra;São Paulo;SP
Campinas - Av. Ruy Rodrigues - Desativada;Campinas;SP
Goiânia - Setor Aeroporto - Desativada;Goiânia;GO
Canoas - Jardim do Lago;Canoas;RS
Peixoto de Azevedo - MT;Peixoto de Azevedo;MT
Jarinú - Desativada;Jarinu;SP
Santo André - Centro;Santo André;SP
Foz do Iguaçu - Av JK;Foz do Iguaçu;PR
Cascavel - Catuaí - Desativada;Cascavel;PR
Itaguaí;Itaguaí;RJ
Juiz de Fora - Pátio Central - Desativada;Juiz de Fora;MG
São João Del Rei - Cuiaba - Desativada;Cuiabá;MT
São Paulo - Ipiranga;São Paulo;SP
Goianésia;Goianésia;GO
São Paulo - Planalto Paulista;São Paulo;SP
Barra da Tijuca - Downtown;Rio de Janeiro;RJ
Boa Vista;Boa Vista;RR
Lagoa Santa - MG - Desativada;Lagoa Santa;MG
Bela Vista do Paraíso;Bela Vista do Paraíso;PR
Londrina - Av. Maringá;Londrina;PR
Itú - SP;Itu;SP
Santarém;Santarém;PA
Recife - Parnamirim;Recife;PE
São Paulo - Vila Mascote;São Paulo;SP
Americana;Americana;SP
Campinas - Lagoa do Taquaral;Campinas;SP
Barretos;Barretos;SP
Barueri - SP;Barueri;SP
Uberlândia - Centro;Uberlândia;MG
Bento Gonçalves;Bento Gonçalves;RS
Palhoça;Palhoça;SC
Cristo Rei - Várzea Grande;Várzea Grande;MT
Cuiabá - Jardim Imperial;Cuiabá;MT
